Flow_ID,Src_IP,Src_Port,Dst_IP,Dst_Port,Protocol,Timestamp,Flow_Duration,Tot_Fwd_Pkts,Tot_Bwd_Pkts,TotLen_Fwd_Pkts,TotLen_Bwd_Pkts,Fwd_Pkt_Len_Max,Fwd_Pkt_Len_Min,Fwd_Pkt_Len_Mean,Fwd_Pkt_Len_Std,Bwd_Pkt_Len_Max,Bwd_Pkt_Len_Min,Bwd_Pkt_Len_Mean,Bwd_Pkt_Len_Std,Flow_Byts/s,Flow_Pkts/s,Flow_IAT_Mean,Flow_IAT_Std,Flow_IAT_Max,Flow_IAT_Min,Fwd_IAT_Tot,Fwd_IAT_Mean,Fwd_IAT_Std,Fwd_IAT_Max,Fwd_IAT_Min,Bwd_IAT_Tot,Bwd_IAT_Mean,Bwd_IAT_Std,Bwd_IAT_Max,Bwd_IAT_Min,Fwd_PSH_Flags,Bwd_PSH_Flags,Fwd_URG_Flags,Bwd_URG_Flags,Fwd_Header_Len,Bwd_Header_Len,Fwd_Pkts/s,Bwd_Pkts/s,Pkt_Len_Min,Pkt_Len_Max,Pkt_Len_Mean,Pkt_Len_Std,Pkt_Len_Var,FIN_Flag_Cnt,SYN_Flag_Cnt,RST_Flag_Cnt,PSH_Flag_Cnt,ACK_Flag_Cnt,URG_Flag_Cnt,CWE_Flag_Count,ECE_Flag_Cnt,Down/Up_Ratio,Pkt_Size_Avg,Fwd_Seg_Size_Avg,Bwd_Seg_Size_Avg,Fwd_Byts/b_Avg,Fwd_Pkts/b_Avg,Fwd_Blk_Rate_Avg,Bwd_Byts/b_Avg,Bwd_Pkts/b_Avg,Bwd_Blk_Rate_Avg,Subflow_Fwd_Pkts,Subflow_Fwd_Byts,Subflow_Bwd_Pkts,Subflow_Bwd_Byts,Init_Fwd_Win_Byts,Init_Bwd_Win_Byts,Fwd_Act_Data_Pkts,Fwd_Seg_Size_Min,Active_Mean,Active_Std,Active_Max,Active_Min,Idle_Mean,Idle_Std,Idle_Max,Idle_Min,Label,Cat,Sub_Cat,Date
192.168.0.13-124.156.245.123-46110-7760-6,192.168.0.13,46110,124.156.245.123,7760,6,2019-07-25 03:25:07,76,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26315.78947368421,76.0,0.0,76.0,76.0,0.0,0.0,0.0,0.0,0.0,76.0,76.0,0.0,76.0,76.0,0,0,0,0,0,40,0.0,26315.78947368421,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,526,0,0,0.0,0.0,0.0,0.0,76.0,0.0,76.0,76.0,Anomaly,Mirai,Mirai-UDP Flooding,2019-07-25
192.168.0.13-124.156.245.123-46110-7760-6,192.168.0.13,46110,124.156.245.123,7760,6,2019-07-25 03:25:03,115,1,1,1400.0,1400.0,1400.0,1400.0,1400.0,0.0,1400.0,1400.0,1400.0,0.0,24347826.08695652,17391.304347826088,115.0,0.0,115.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,20,8695.652173913044,8695.652173913044,1400.0,1400.0,1400.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,2100.0,1400.0,1400.0,0,0,0,0,0,0,1,1400,1,1400,-1,1750,1,0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,115.0,Anomaly,Mirai,Mirai-UDP Flooding,2019-07-25
192.168.0.13-192.168.0.16-9020-56247-6,192.168.0.16,56247,192.168.0.13,9020,6,2019-09-10 01:42:23,160,0,3,0.0,2806.0,0.0,0.0,0.0,0.0,1388.0,30.0,935.3333333333336,784.0416655595117,17537500.0,18750.0,80.0,7.071067811865476,85.0,75.0,0.0,0.0,0.0,0.0,0.0,160.0,80.0,7.071067811865476,85.0,75.0,0,0,0,0,0,96,0.0,18750.0,30.0,1388.0,1048.5,679.0,461041.0,0,0,0,0,1,0,0,0,0.0,1398.0,0.0,935.3333333333336,0,0,0,0,0,0,0,0,3,2806,-1,1869,0,0,0.0,0.0,0.0,0.0,80.0,7.071067811865476,85.0,75.0,Anomaly,Mirai,Mirai-Hostbruteforceg,2019-09-10
192.168.0.24-223.39.123.193-45449-8100-6,192.168.0.24,45449,223.39.123.193,8100,6,2019-07-25 03:23:05,120,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16666.666666666668,120.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,120.0,120.0,0.0,120.0,120.0,0,0,0,0,0,40,0.0,16666.666666666668,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,2,0,-1,42340,0,0,0.0,0.0,0.0,0.0,120.0,0.0,120.0,120.0,Anomaly,Mirai,Mirai-HTTP Flooding,2019-07-25
192.168.0.13-124.156.245.123-46110-7760-6,192.168.0.13,46110,124.156.245.123,7760,6,2019-07-25 03:25:03,224,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13392.857142857143,112.0,57.982756057296896,153.0,71.0,0.0,0.0,0.0,0.0,0.0,224.0,112.0,57.982756057296896,153.0,71.0,0,0,0,0,0,60,0.0,13392.857142857143,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,3,0,-1,355,0,0,0.0,0.0,0.0,0.0,112.0,57.982756057296896,153.0,71.0,Anomaly,Mirai,Mirai-Ackflooding,2019-07-25
192.168.0.13-192.168.0.16-9020-49784-6,192.168.0.13,9020,192.168.0.16,49784,6,2019-05-20 04:59:29,469,2,2,2776.0,0.0,1388.0,1388.0,1388.0,0.0,0.0,0.0,0.0,0.0,5918976.545842217,8528.784648187633,156.33333333333334,144.34103135745335,323.0,72.0,72.0,72.0,0.0,72.0,72.0,74.0,74.0,0.0,74.0,74.0,0,0,0,0,64,64,4264.3923240938175,4264.3923240938175,0.0,1388.0,555.2,760.2389098171706,577963.2,0,0,0,0,1,0,0,0,1.0,694.0,1388.0,0.0,0,0,0,0,0,0,2,2776,2,0,-1,31380,2,0,0.0,0.0,0.0,0.0,156.33333333333334,144.34103135745335,323.0,72.0,Normal,Normal,Normal,2019-05-20
192.168.0.24-210.89.164.90-56110-8043-17,192.168.0.24,56110,210.89.164.90,8043,17,2019-07-25 03:25:35,8,1,1,18.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,4500000.0,250000.0,8.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,8,8,125000.0,125000.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,1.0,27.0,18.0,18.0,0,0,0,0,0,0,1,18,1,18,-1,-1,1,0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,8.0,Anomaly,Mirai,Mirai-UDP Flooding,2019-07-25
192.168.0.13-192.168.0.16-56361-10101-17,192.168.0.13,56361,192.168.0.16,10101,17,2019-07-25 03:24:23,196,2,1,2860.0,1430.0,1430.0,1430.0,1430.0,0.0,1430.0,1430.0,1430.0,0.0,21887755.102040816,15306.122448979591,98.0,33.94112549695428,122.0,74.0,74.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,10204.081632653062,5102.040816326531,1430.0,1430.0,1430.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,1906.666666666667,1430.0,1430.0,0,0,0,0,0,0,2,2860,1,1430,-1,-1,2,0,0.0,0.0,0.0,0.0,98.0,33.94112549695428,122.0,74.0,Anomaly,Mirai,Mirai-UDP Flooding,2019-07-25
192.168.0.24-210.89.164.90-55986-8043-17,192.168.0.24,55986,210.89.164.90,8043,17,2019-07-25 03:24:39,16,2,1,36.0,18.0,18.0,18.0,18.0,0.0,18.0,18.0,18.0,0.0,3375000.0,187500.0,8.0,4.242640687119285,11.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,16,8,125000.0,62500.0,18.0,18.0,18.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,24.0,18.0,18.0,0,0,0,0,0,0,2,36,1,18,-1,-1,2,0,0.0,0.0,0.0,0.0,8.0,4.242640687119285,11.0,5.0,Anomaly,Mirai,Mirai-UDP Flooding,2019-07-25
192.168.0.13-192.168.0.16-9020-56242-6,192.168.0.16,56242,192.168.0.13,9020,6,2019-09-10 01:42:03,161,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18633.540372670806,80.5,9.192388155425116,87.0,74.0,74.0,74.0,0.0,74.0,74.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,32,12422.360248447205,6211.180124223602,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2,0,1,0,-1,32679,0,0,0.0,0.0,0.0,0.0,80.5,9.192388155425116,87.0,74.0,Anomaly,Mirai,Mirai-Hostbruteforceg,2019-09-10
